Modern-Era Retrospective Analysis for Research and Applications (MERRA)
Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
More information at;http://gmao.gsfc.nasa.gov/research/merra
Site latitude (positive means North);44.083
Site longitude (positive means East);5.059
Site altitude (m);492
Date beginning;2010-01-01
Date end;2014-12-31
Time reference (decimal hour);UT
Summarization (period of integration);Hour (h)
Date - Instant;The date or instant given for each value corresponds to the end of the summarization
Temperature;Temperature at 2 m above ground in K
Relative humidity;Relative humidity at 2 m above ground in %
Pressure;Pressure at ground level in hPa
Wind speed;Wind speed at 10 m above ground in m/s
Wind direction;Wind direction at 10 m above ground in degrees (0 means from North, 90 from East...)

MERRA meteorological data
Year;Month;Day;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;
2010;1;1;1.0000;280.7633;76.2432;950.4963;2.3179;152.5350;
2010;1;1;2.0000;280.5746;75.8444;950.4677;1.6355;197.5314;
2010;1;1;3.0000;280.1229;74.7532;950.3475;2.2883;271.5214;
2010;1;1;4.0000;279.5956;72.6142;950.5668;3.9656;296.1183;
2010;1;1;5.0000;279.0723;70.6901;951.0798;5.1475;304.2744;
2010;1;1;6.0000;278.6185;69.6422;951.6595;5.5663;307.1133;
2010;1;1;7.0000;278.3756;68.9090;952.4652;5.3955;306.8770;
2010;1;1;8.0000;278.7196;68.6873;953.1572;4.9820;306.2503;
2010;1;1;9.0000;279.2184;68.5460;953.7842;4.5774;302.5564;
2010;1;1;10.0000;279.6015;68.2787;954.4397;4.3594;299.7596;
2010;1;1;11.0000;279.9392;67.8954;954.8391;4.4106;301.4856;
2010;1;1;12.0000;280.2370;67.3285;955.3133;4.7182;307.9708;
2010;1;1;13.0000;280.3675;66.3324;956.0777;5.4210;317.6947;
2010;1;1;14.0000;280.0477;65.2543;957.4792;6.3234;327.3538;
2010;1;1;15.0000;279.1589;64.5470;959.0498;6.9349;334.0334;
2010;1;1;16.0000;277.9998;63.5164;960.5740;7.2545;338.2851;
2010;1;1;17.0000;276.9273;63.3105;961.8253;7.3534;341.2884;
2010;1;1;18.0000;275.9819;63.3801;963.2536;7.2148;345.0171;
2010;1;1;19.0000;275.1590;63.0662;964.4319;7.0441;348.3291;
2010;1;1;20.0000;274.4573;62.4826;965.7642;6.9762;347.9080;
2010;1;1;21.0000;273.8513;61.6753;967.2898;7.0715;344.8875;
2010;1;1;22.0000;273.2449;60.9565;968.7623;7.2310;345.3516;
2010;1;1;23.0000;272.6196;60.2821;969.5409;7.2427;349.0385;
2010;1;1;24.0000;272.0242;60.0223;970.1822;7.2083;353.0619;
2010;1;2;1.0000;271.5421;59.8152;971.0255;7.1058;354.4959;
2010;1;2;2.0000;271.1414;59.5662;972.0986;6.9849;355.1987;
2010;1;2;3.0000;270.8735;59.2934;972.7141;7.0701;358.2683;
2010;1;2;4.0000;270.6920;58.8582;973.1020;7.1543;1.2784;
2010;1;2;5.0000;270.5250;58.4753;973.4213;7.1383;3.6499;
2010;1;2;6.0000;270.3761;58.4574;973.8087;6.9877;4.8879;
2010;1;2;7.0000;270.4725;58.4859;974.6136;6.7290;4.9978;
2010;1;2;8.0000;271.8062;58.1862;975.3646;6.3955;3.9809;
2010;1;2;9.0000;273.2491;56.3558;975.9446;6.3524;1.6427;
2010;1;2;10.0000;274.2472;52.6606;976.8024;6.7349;358.6086;
2010;1;2;11.0000;274.8502;49.8409;977.1466;6.9230;356.2505;
2010;1;2;12.0000;275.0747;47.8447;977.2716;7.0331;356.0631;
2010;1;2;13.0000;274.8962;47.1268;977.4745;7.0388;357.3609;
2010;1;2;14.0000;274.2574;48.7466;978.0251;6.7636;359.1400;
2010;1;2;15.0000;272.9345;53.1020;978.6630;6.6239;1.7626;
2010;1;2;16.0000;271.6871;54.3930;979.3006;6.5376;3.9767;
2010;1;2;17.0000;271.0830;55.4523;979.9395;6.3381;5.3275;
2010;1;2;18.0000;270.6791;56.4751;980.6373;6.0998;6.9098;
2010;1;2;19.0000;270.3835;57.2491;980.7787;5.8397;8.3513;
